"X_Long" "Y_Lat" "Bio1" "Bio2" "Bio3" "Bio4" "Bio5" "Bio6" "Bio7" "Bio8" "Bio9" "Bio10" "Bio11" "Bio12" "Bio13" "Bio14" "Bio15" "Bio16" "Bio17" "Bio18" "Bio19" "Elevation"
"AM_00610" 72.953 22.555 27.0375003814697 13.2250003814697 46.5669021606445 428.640167236328 40 11.6000003814697 28.3999996185303 28.5833339691162 26.6333332061768 32.0166664123535 21.0833339691162 836 313 1 154.234466552734 714 4 93 5 41
"AM_00666" 78.43 30.374 16.2875003814697 9.92500019073486 39.0748023986816 549.504455566406 28.2000007629395 2.79999995231628 25.4000015258789 20.716667175293 9.78333282470703 22.0833339691162 8.83333301544189 2048 618 12 127.678405761719 1500 116 824 168 1807
"AM_00667" 78.216 30.964 12.5041666030884 9.19166660308838 37.3644981384277 548.880920410156 23.7999992370605 -0.800000011920929 24.5999984741211 17.2999992370605 9.48333358764648 18.0833339691162 5.01666688919067 1503 337 18 83.6671829223633 854 133 506 235 2203
"AM_00668" 75.196 33.258 19.716667175293 12.0833330154419 37.1794853210449 720.269348144531 35.5 3 32.5 26.1666679382324 15.5166664123535 27.4500007629395 10.0999994277954 1148 241 18 70.3632659912109 571 110 503 250 733
"AM_00546" 75.9 32.5 20.8125 10.2749996185303 34.3645477294922 643.972473144531 35.5 5.59999990463257 29.8999996185303 25.5833339691162 16.783332824707 28.033332824707 12.2666664123535 1911 527 18 109.54280090332 1269 129 672 277 813
"AM_00669" 75.9 32.5 20.8125 10.2749996185303 34.3645477294922 643.972473144531 35.5 5.59999990463257 29.8999996185303 25.5833339691162 16.783332824707 28.033332824707 12.2666664123535 1911 527 18 109.54280090332 1269 129 672 277 813
"AM_00670" 77.114 31.927 17.8583335876465 10.0666666030884 36.6060600280762 601.690185546875 31.2000007629395 3.70000004768372 27.5 22.966667175293 14.25 24.216667175293 9.69999980926514 1353 283 25 66.2759017944336 632 117 467 247 1295
"AM_00671" 70.447 21.516 26.591667175293 11.2666664123535 51.4459686279297 317.395874023438 35.5999984741211 13.6999998092651 21.8999977111816 28 23.1833343505859 29.9166660308838 21.966667175293 817 358 0 161.790725708008 672 2 471 2 79
"AM_00672" 72.953 22.555 27.0375003814697 13.2250003814697 46.5669021606445 428.640167236328 40 11.6000003814697 28.3999996185303 28.5833339691162 26.6333332061768 32.0166664123535 21.0833339691162 836 313 1 154.234466552734 714 4 93 5 41
"AM_00675" 77.213 28.641 25.2416667938232 12.6333332061768 39.2339553833008 683.981750488281 40.0999984741211 7.90000009536743 32.1999969482422 30.1166667938232 16.9166660308838 32.5666656494141 15.8666667938232 725 238 5 135.423873901367 570 32 269 40 220
"AM_00676" 77.11 31.96 17.9500007629395 10.1833333969116 36.762939453125 601.9287109375 31.3999996185303 3.70000004768372 27.6999988555908 23.033332824707 14.3666667938232 24.2999992370605 9.75 1309 260 26 62.4459190368652 587 118 436 250 1223
"AM_00677" 77.238 31.101 12.6958332061768 8.19166660308838 34.4187698364258 541.502380371094 23.7999992370605 0 23.7999992370605 17.3166675567627 9.86666679382324 18.3999996185303 5.40000009536743 1347 330 17 85.548225402832 759 98 542 185 2399
"AM_00678" 77.238 31.101 12.6958332061768 8.19166660308838 34.4187698364258 541.502380371094 23.7999992370605 0 23.7999992370605 17.3166675567627 9.86666679382324 18.3999996185303 5.40000009536743 1347 330 17 85.548225402832 759 98 542 185 2399
"AM_00679" 77.238 31.101 12.6958332061768 8.19166660308838 34.4187698364258 541.502380371094 23.7999992370605 0 23.7999992370605 17.3166675567627 9.86666679382324 18.3999996185303 5.40000009536743 1347 330 17 85.548225402832 759 98 542 185 2399
"AM_00680" 78.475 31.651 7.02500009536743 10.3833332061768 34.9607200622559 747.047241210938 21 -8.69999980926514 29.7000007629395 -1.73333323001862 3.46666669845581 15.6000003814697 -2.75 882 119 22 42.7140235900879 305 111 248 234 3260
"AM_00681" 78.475 31.651 7.02500009536743 10.3833332061768 34.9607200622559 747.047241210938 21 -8.69999980926514 29.7000007629395 -1.73333323001862 3.46666669845581 15.6000003814697 -2.75 882 119 22 42.7140235900879 305 111 248 234 3260
"AM_00682" 78.475 31.651 7.02500009536743 10.3833332061768 34.9607200622559 747.047241210938 21 -8.69999980926514 29.7000007629395 -1.73333323001862 3.46666669845581 15.6000003814697 -2.75 882 119 22 42.7140235900879 305 111 248 234 3260
"AM_00547" 78.475 31.651 7.02500009536743 10.3833332061768 34.9607200622559 747.047241210938 21 -8.69999980926514 29.7000007629395 -1.73333323001862 3.46666669845581 15.6000003814697 -2.75 882 119 22 42.7140235900879 305 111 248 234 3260
"AM_00683" 78.475 31.651 7.02500009536743 10.3833332061768 34.9607200622559 747.047241210938 21 -8.69999980926514 29.7000007629395 -1.73333323001862 3.46666669845581 15.6000003814697 -2.75 882 119 22 42.7140235900879 305 111 248 234 3260
"AM_00684" 77.238 31.101 12.6958332061768 8.19166660308838 34.4187698364258 541.502380371094 23.7999992370605 0 23.7999992370605 17.3166675567627 9.86666679382324 18.3999996185303 5.40000009536743 1347 330 17 85.548225402832 759 98 542 185 2399
"AM_00685" 78.475 31.651 7.02500009536743 10.3833332061768 34.9607200622559 747.047241210938 21 -8.69999980926514 29.7000007629395 -1.73333323001862 3.46666669845581 15.6000003814697 -2.75 882 119 22 42.7140235900879 305 111 248 234 3260
"AM_00548" 76.918 31.589 20.8166675567627 10.466667175293 35.6009063720703 652.538146972656 34.9000015258789 5.5 29.4000015258789 25.8666667938232 16.533332824707 27.966667175293 12.0833339691162 1491 441 17 109.648262023926 975 96 607 175 792
"AM_00686" 77.238 31.101 12.6958332061768 8.19166660308838 34.4187698364258 541.502380371094 23.7999992370605 0 23.7999992370605 17.3166675567627 9.86666679382324 18.3999996185303 5.40000009536743 1347 330 17 85.548225402832 759 98 542 185 2399
"AM_00549" 82.141 22.08 27.0041675567627 11.7916660308838 40.5211906433105 474.664764404297 42.2000007629395 13.1000003814697 29.1000003814697 27.8333339691162 21.1166667938232 33.2666664123535 21.1166667938232 1259 384 2 136.095611572266 965 21 191 21 269
"AM_00687" 76.086 29.059 24.4750003814697 13.75 40.0874633789062 727.391052246094 40.4000015258789 6.09999990463257 34.3000030517578 29.9166679382324 19.9166660308838 32.3833351135254 14.6166667938232 446 128 4 120.921211242676 331 23 174 34 218
"AM_00688" 78.245 31.403 6.58333349227905 9.96666717529297 35.4685668945312 684.567993164062 19.3999996185303 -8.69999980926514 28.0999984741211 13.5666666030884 3.46666669845581 14.1833333969116 -2.51666665077209 1085 156 24 46.6494636535645 426 131 351 266 3139
"AM_00689" 77.443 31.444 14.7416667938232 9.5 37.109375 558.418334960938 26.7999992370605 1.20000004768372 25.5999984741211 19.5166664123535 11.7000007629395 20.5499992370605 7.15000009536743 1316 269 20 63.7525253295898 625 123 474 240 1951
"AM_00690" 76.387 31.632 21.2708339691162 10.3583335876465 35.1129951477051 639.46875 35.5999984741211 6.09999990463257 29.4999980926514 25.9500007629395 17.1000003814697 28.4333324432373 12.783332824707 1351 428 12 127.21166229248 997 72 530 137 790
"AM_00691" 77.46 31.258 10.8458337783813 8.35833358764648 34.6818809509277 554.958862304688 21.8999996185303 -2.20000004768372 24.1000003814697 15.9166669845581 8.06666660308838 16.7000007629395 3.36666679382324 1236 239 20 61.9264984130859 592 120 535 230 2646
"AM_00692" 77.46 31.258 10.8458337783813 8.35833358764648 34.6818809509277 554.958862304688 21.8999996185303 -2.20000004768372 24.1000003814697 15.9166669845581 8.06666660308838 16.7000007629395 3.36666679382324 1236 239 20 61.9264984130859 592 120 535 230 2646
"AM_00693" 77.109 31.958 18.0499992370605 10.1999998092651 36.8231048583984 602.298645019531 31.5 3.79999995231628 27.7000007629395 23.1666660308838 14.4499998092651 24.3999996185303 9.86666679382324 1304 260 26 62.7697868347168 586 117 435 249 1219
"AM_00694" 77.107 31.953 17.3250007629395 10 36.764705657959 591.909484863281 30.5 3.29999995231628 27.2000007629395 22.4333324432373 13.8666667938232 23.5499992370605 9.28333377838135 1422 304 25 68.4952850341797 683 120 498 252 1389
"AM_00695" 77.104 31.952 17.3250007629395 10 36.764705657959 591.909484863281 30.5 3.29999995231628 27.2000007629395 22.4333324432373 13.8666667938232 23.5499992370605 9.28333377838135 1422 304 25 68.4952850341797 683 120 498 252 1389
"AM_00696" 77.104 31.952 17.3250007629395 10 36.764705657959 591.909484863281 30.5 3.29999995231628 27.2000007629395 22.4333324432373 13.8666667938232 23.5499992370605 9.28333377838135 1422 304 25 68.4952850341797 683 120 498 252 1389
"AM_00697" 77.104 31.952 17.3250007629395 10 36.764705657959 591.909484863281 30.5 3.29999995231628 27.2000007629395 22.4333324432373 13.8666667938232 23.5499992370605 9.28333377838135 1422 304 25 68.4952850341797 683 120 498 252 1389
"AM_00698" 77.104 31.952 17.3250007629395 10 36.764705657959 591.909484863281 30.5 3.29999995231628 27.2000007629395 22.4333324432373 13.8666667938232 23.5499992370605 9.28333377838135 1422 304 25 68.4952850341797 683 120 498 252 1389
"AM_00699" 77.112 31.954 18.0499992370605 10.1999998092651 36.8231048583984 602.298645019531 31.5 3.79999995231628 27.7000007629395 23.1666660308838 14.4499998092651 24.3999996185303 9.86666679382324 1304 260 26 62.7697868347168 586 117 435 249 1219
"AM_00700" 77.104 31.976 13.6083335876465 9.35000038146973 36.3813247680664 574.111328125 25.8999996185303 0.200000002980232 25.6999988555908 18.8999996185303 10.6166667938232 19.716667175293 5.83333349227905 1443 293 22 65.6157989501953 695 118 655 257 2147
"AM_00701" 77.104 31.976 13.6083335876465 9.35000038146973 36.3813247680664 574.111328125 25.8999996185303 0.200000002980232 25.6999988555908 18.8999996185303 10.6166667938232 19.716667175293 5.83333349227905 1443 293 22 65.6157989501953 695 118 655 257 2147
"AM_00702" 77.104 31.976 13.6083335876465 9.35000038146973 36.3813247680664 574.111328125 25.8999996185303 0.200000002980232 25.6999988555908 18.8999996185303 10.6166667938232 19.716667175293 5.83333349227905 1443 293 22 65.6157989501953 695 118 655 257 2147
"AM_00703" 77.104 31.976 13.6083335876465 9.35000038146973 36.3813247680664 574.111328125 25.8999996185303 0.200000002980232 25.6999988555908 18.8999996185303 10.6166667938232 19.716667175293 5.83333349227905 1443 293 22 65.6157989501953 695 118 655 257 2147
"AM_00704" 77.104 31.976 13.6083335876465 9.35000038146973 36.3813247680664 574.111328125 25.8999996185303 0.200000002980232 25.6999988555908 18.8999996185303 10.6166667938232 19.716667175293 5.83333349227905 1443 293 22 65.6157989501953 695 118 655 257 2147
"AM_00705" 76.931 31.708 20.7541675567627 10.0083332061768 34.872241973877 636.636962890625 34.5999984741211 5.90000009536743 28.6999988555908 25.5166664123535 16.5166664123535 27.7666664123535 12.2333335876465 1579 459 19 108.513977050781 1019 101 638 187 822
