Taxa	Species
AM_00547	1
AM_00664	1
AM_00665	1
AM_00666	1
AM_00672	1
AM_00675	1
AM_00676	1
AM_00677	1
AM_00678	1
AM_00679	1
AM_00680	1
AM_00681	1
AM_00682	1
AM_00683	1
AM_00684	1
AM_00685	1
AM_00686	1
AM_00687	1
AM_00688	1
AM_00689	1
AM_00690	1
AM_00691	1
AM_00692	1
AM_00693	1
AM_00694	1
AM_00695	1
AM_00696	1
AM_00697	1
AM_00698	1
AM_00699	1
AM_00700	1
AM_00701	1
AM_00702	1
AM_00703	1
AM_00705	1
AM_00706	1
AM_00707	1
AM_00708	1
AM_00709	1
AM_00712	1
AM_00714	1
AM_00715	1
AM_00716	1
AM_00718	1
AM_00721	1
AM_00722	1
AM_00724	1
AM_00727	1
AM_00729	1
AM_00730	1
AM_00736	1
AM_00737	1
AM_00738	1
AM_00739	1
AM_00741	1
AM_00743	1
AM_00744	1
AM_00747	1
AM_00750	1
AM_00751	1
AM_00754	1
AM_00756	1
AM_00757	1
AM_00758	1
AM_00760	1
AM_00762	1
AM_00763	1
AM_00764	1
AM_00765	1
AM_00767	1
AM_00768	1
AM_00769	1
AM_00772	1
AM_00773	1
AM_00774	1
AM_00775	1
AM_00776	1
AM_00777	1
AM_00778	1
AM_00789	1
AM_00795	1
AM_00796	1
AM_00797	1
AM_00798	1
AM_00799	1
AM_00800	1
AM_00865	1
AM_00879	1
AM_00987	1
AM_00988	1
AM_00989	1
AM_00990	1
AM_00992	1
AM_00993	1
AM_00994	1
AM_00995	1
AM_00996	1
AM_01021	1
PI481125	1
AM_00546	2
AM_00548	2
AM_00549	2
AM_00550	2
AM_00551	2
AM_00552	2
AM_00553	2
AM_00554	2
AM_00601	2
AM_00602	2
AM_00604	2
AM_00607	2
AM_00609	2
AM_00610	2
AM_00637	2
AM_00638	2
AM_00639	2
AM_00640	2
AM_00643	2
AM_00644	2
AM_00645	2
AM_00646	2
AM_00647	2
AM_00648	2
AM_00667	2
AM_00668	2
AM_00669	2
AM_00670	2
AM_00759	2
AM_00780	2
AM_00781	2
AM_00782	2
AM_00785	2
AM_00787	2
AM_00790	2
AM_00791	2
AM_00792	2
AM_00793	2
AM_00794	2
AM_00864	2
AM_00870	2
AM_00872	2
AM_00873	2
AM_00876	2
AM_00877	2
AM_00878	2
AM_01009	2
AM_01023	2
AM_01025	2
PI619259	2
PI540446	2
PI490459	1
PI481957	1
PI511706	1
AMA125	1
PI490561	1
PI642741	1
PI511704	1
PI490518	1
PI649227	1
PI481960	1
PI511687	1
PI490612	1
PI649217	1
PI511712	1
PI490431	1
PI490609	1
PI511696	1
PI511686	1
PI481965	1
PI511690	1
Ames5302	1
PI490604	1
PI511679	1
PI511680	1
PI511681	1
PI608019	1
PI649228	1
PI649230	1
PI649537	2
PI643036	2
PI649575	2
Ames5457	2
PI633589	2
PI643070	2
PI604581	2
Ames2085	2
PI643041	2
PI649602	2
PI604587	2
PI649607	2
PI511731	2
PI643067	2
PI649559	2
PI649623	2
PI604595	2
PI649529	2
