SamID	X_Long	Y_Lat	Pop
AM_00666	78.43	30.374	IND1
AM_00672	72.953	22.555	IND2
AM_00682	78.475	31.651	IND3
AM_00685	78.475	31.651	IND3
AM_00689	77.443	31.444	IND4
AM_00693	77.109	31.958	IND5
AM_00756	78.257	31.536	IND6
AM_00763	78.257	31.536	IND6
AM_00764	78.257	31.536	IND6
AM_00775	78.257	31.536	IND6
AM_00789	78.475	31.65	IND3
AM_00797	78.168	31.486	IND7
AM_00800	79.332	30.405	IND8
AM_00865	76.956	11.017	IND9
AM_00879	77.159	31.112	IND10
AM_00987	78.779	30.146	IND11
AM_00988	77.114	30.924	IND12
AM_00989	79.559	30.558	IND13
AM_00990	79.545	30.634	IND14
AM_00992	79.025	28.802	IND15
AM_00994	76.757	31.737	IND16
AM_00996	77.189	32.239	IND17
AM_01021	80.953	26.855	IND18
PI511679	-68.696611	-32.90127	NAT1
PI511680	-71.2684	-41.034544	NAT2
PI490459	-64.758182	-21.409665	NAT3
PI490604	-65.259121	-19.03539	NAT4
PI511681	-64.758182	-21.409665	NAT3
PI642741	-64.814701	-16.724847	NAT5
PI490609	-79.205789	-3.042421	NAT6
PI511712	-78.351456	-0.064028	NAT7
PI608019	-78.21666667	0.05	NAT8
AMA125	-79.031951	-8.105996	NAT9
Ames5302	-71.657777	-15.649166	NAT10
PI481957	-77.644805	-9.281824	NAT11
PI481960	-77.649437	-9.823278	NAT12
PI481965	-77.170588	-9.348477	NAT13
PI490431	-71.622822	-13.682253	NAT14
PI490518	-71.919367	-13.668024	NAT15
PI490561	-73.600709	-13.547676	NAT16
PI490612	-71.883523	-16.731521	NAT17
PI511686	-74.250187	-12.931612	NAT18
PI511687	-75.210466	-12.068502	NAT19
PI511690	-75.013343	-12.507894	NAT20
PI511696	-77.528613	-9.526058	NAT21
PI511704	-78.512153	-7.162957	NAT22
PI511706	-78.512153	-7.162957	NAT22
PI649217	-70.16666667	-15.21666667	NAT23
PI649227	-77.145932	-9.487132	NAT24
PI649228	-77.145932	-9.487132	NAT24
PI649230	-77	-9	NAT25
