Pop	Region	X_Long	Y_Lat
IND1	India	78.43	30.374
IND10	India	77.159	31.112
IND11	India	78.779	30.146
IND12	India	77.114	30.924
IND13	India	79.559	30.558
IND14	India	79.545	30.634
IND15	India	79.025	28.802
IND16	India	76.757	31.737
IND17	India	77.189	32.239
IND18	India	80.953	26.855
IND2	India	72.953	22.555
IND3	India	78.475	31.651
IND4	India	77.443	31.444
IND5	India	77.109	31.958
IND6	India	78.257	31.536
IND7	India	78.168	31.486
IND8	India	79.332	30.405
IND9	India	76.956	11.017
NAT1	Native	-68.696611	-32.90127
NAT10	Native	-71.657777	-15.649166
NAT11	Native	-77.644805	-9.281824
NAT12	Native	-77.649437	-9.823278
NAT13	Native	-77.170588	-9.348477
NAT14	Native	-71.622822	-13.682253
NAT15	Native	-71.919367	-13.668024
NAT16	Native	-73.600709	-13.547676
NAT17	Native	-71.883523	-16.731521
NAT18	Native	-74.250187	-12.931612
NAT19	Native	-75.210466	-12.068502
NAT2	Native	-71.2684	-41.034544
NAT20	Native	-75.013343	-12.507894
NAT21	Native	-77.528613	-9.526058
NAT22	Native	-78.512153	-7.162957
NAT23	Native	-70.16666667	-15.21666667
NAT24	Native	-77.145932	-9.487132
NAT25	Native	-77	-9
NAT3	Native	-64.758182	-21.409665
NAT4	Native	-65.259121	-19.03539
NAT5	Native	-64.814701	-16.724847
NAT6	Native	-79.205789	-3.042421
NAT7	Native	-78.351456	-0.064028
NAT8	Native	-78.21666667	0.05
NAT9	Native	-79.031951	-8.105996
